Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/alpine-skiing
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/ice-hockey
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/nordic-combined
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/cortina-d-ampezzo-1956/results/speed-skating
