Event Name,Event English Name,URL
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/chamonix-1924/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/chamonix-1924/results/cross-country-skiing
Curling,curling,https://olympics.com/en/olympic-games/chamonix-1924/results/curling
Figure skating,figure-skating,https://olympics.com/en/olympic-games/chamonix-1924/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/chamonix-1924/results/ice-hockey
Military Patrol,military-patrol,https://olympics.com/en/olympic-games/chamonix-1924/results/military-patrol
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/chamonix-1924/results/nordic-combined
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/chamonix-1924/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/chamonix-1924/results/speed-skating
