Event Name,Event English Name,URL
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/ice-hockey
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/nordic-combined
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/garmisch-partenkirchen-1936/results/speed-skating
