Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/moscow-1980/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/moscow-1980/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/moscow-1980/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/moscow-1980/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/moscow-1980/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/moscow-1980/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/moscow-1980/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/moscow-1980/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/moscow-1980/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/moscow-1980/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/moscow-1980/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/moscow-1980/results/fencing
Football,football,https://olympics.com/en/olympic-games/moscow-1980/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/moscow-1980/results/gymnastics-artistic
Handball,handball,https://olympics.com/en/olympic-games/moscow-1980/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/moscow-1980/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/moscow-1980/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/moscow-1980/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/moscow-1980/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/moscow-1980/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/moscow-1980/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/moscow-1980/results/swimming
Volleyball,volleyball,https://olympics.com/en/olympic-games/moscow-1980/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/moscow-1980/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/moscow-1980/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/moscow-1980/results/wrestling
