Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/athens-1896/results/athletics
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/athens-1896/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/athens-1896/results/cycling-track
Fencing,fencing,https://olympics.com/en/olympic-games/athens-1896/results/fencing
Shooting,shooting,https://olympics.com/en/olympic-games/athens-1896/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/athens-1896/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/athens-1896/results/tennis
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/athens-1896/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/athens-1896/results/wrestling
