Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/london-1908/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/london-1908/results/athletics
Boxing,boxing,https://olympics.com/en/olympic-games/london-1908/results/boxing
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/london-1908/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/london-1908/results/diving
Fencing,fencing,https://olympics.com/en/olympic-games/london-1908/results/fencing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/london-1908/results/figure-skating
Football,football,https://olympics.com/en/olympic-games/london-1908/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/london-1908/results/gymnastics-artistic
Hockey,hockey,https://olympics.com/en/olympic-games/london-1908/results/hockey
Jeu de Paume,jeu-de-paume,https://olympics.com/en/olympic-games/london-1908/results/jeu-de-paume
Lacrosse,lacrosse,https://olympics.com/en/olympic-games/london-1908/results/lacrosse
Polo,polo,https://olympics.com/en/olympic-games/london-1908/results/polo
Rackets,rackets,https://olympics.com/en/olympic-games/london-1908/results/rackets
Rowing,rowing,https://olympics.com/en/olympic-games/london-1908/results/rowing
Rugby,rugby,https://olympics.com/en/olympic-games/london-1908/results/rugby
Sailing,sailing,https://olympics.com/en/olympic-games/london-1908/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/london-1908/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/london-1908/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/london-1908/results/tennis
Tug of War,tug-of-war,https://olympics.com/en/olympic-games/london-1908/results/tug-of-war
Water Motorsports,water-motorsports,https://olympics.com/en/olympic-games/london-1908/results/water-motorsports
Water Polo,water-polo,https://olympics.com/en/olympic-games/london-1908/results/water-polo
Wrestling,wrestling,https://olympics.com/en/olympic-games/london-1908/results/wrestling
