Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/squaw-valley-1960/results/alpine-skiing
Biathlon,biathlon,https://olympics.com/en/olympic-games/squaw-valley-1960/results/biathlon
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/squaw-valley-1960/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/squaw-valley-1960/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/squaw-valley-1960/results/ice-hockey
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/squaw-valley-1960/results/nordic-combined
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/squaw-valley-1960/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/squaw-valley-1960/results/speed-skating
