Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/tokyo-1964/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/tokyo-1964/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/tokyo-1964/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/tokyo-1964/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/tokyo-1964/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/tokyo-1964/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/tokyo-1964/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/tokyo-1964/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/tokyo-1964/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/tokyo-1964/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/tokyo-1964/results/fencing
Football,football,https://olympics.com/en/olympic-games/tokyo-1964/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/tokyo-1964/results/gymnastics-artistic
Hockey,hockey,https://olympics.com/en/olympic-games/tokyo-1964/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/tokyo-1964/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/tokyo-1964/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/tokyo-1964/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/tokyo-1964/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/tokyo-1964/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/tokyo-1964/results/swimming
Volleyball,volleyball,https://olympics.com/en/olympic-games/tokyo-1964/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/tokyo-1964/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/tokyo-1964/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/tokyo-1964/results/wrestling
