Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/paris-1900/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/paris-1900/results/athletics
Basque Pelota,basque-pelota,https://olympics.com/en/olympic-games/paris-1900/results/basque-pelota
Cricket,cricket,https://olympics.com/en/olympic-games/paris-1900/results/cricket
Croquet,croquet,https://olympics.com/en/olympic-games/paris-1900/results/croquet
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/paris-1900/results/cycling-track
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/paris-1900/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/paris-1900/results/fencing
Football,football,https://olympics.com/en/olympic-games/paris-1900/results/football
Golf,golf,https://olympics.com/en/olympic-games/paris-1900/results/golf
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/paris-1900/results/gymnastics-artistic
Polo,polo,https://olympics.com/en/olympic-games/paris-1900/results/polo
Rowing,rowing,https://olympics.com/en/olympic-games/paris-1900/results/rowing
Rugby,rugby,https://olympics.com/en/olympic-games/paris-1900/results/rugby
Sailing,sailing,https://olympics.com/en/olympic-games/paris-1900/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/paris-1900/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/paris-1900/results/swimming
Tug of War,tug-of-war,https://olympics.com/en/olympic-games/paris-1900/results/tug-of-war
Water Polo,water-polo,https://olympics.com/en/olympic-games/paris-1900/results/water-polo
