Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/london-2012/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/london-2012/results/athletics
Badminton,badminton,https://olympics.com/en/olympic-games/london-2012/results/badminton
Basketball,basketball,https://olympics.com/en/olympic-games/london-2012/results/basketball
Beach Volleyball,beach-volleyball,https://olympics.com/en/olympic-games/london-2012/results/beach-volleyball
Boxing,boxing,https://olympics.com/en/olympic-games/london-2012/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/london-2012/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/london-2012/results/canoe-sprint
Cycling BMX,cycling-bmx,https://olympics.com/en/olympic-games/london-2012/results/cycling-bmx
Cycling Mountain Bike,cycling-mountain-bike,https://olympics.com/en/olympic-games/london-2012/results/cycling-mountain-bike
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/london-2012/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/london-2012/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/london-2012/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/london-2012/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/london-2012/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/london-2012/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/london-2012/results/fencing
Football,football,https://olympics.com/en/olympic-games/london-2012/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/london-2012/results/gymnastics-artistic
Gymnastics Rhythmic,gymnastics-rhythmic,https://olympics.com/en/olympic-games/london-2012/results/gymnastics-rhythmic
Handball,handball,https://olympics.com/en/olympic-games/london-2012/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/london-2012/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/london-2012/results/judo
Marathon Swimming,marathon-swimming,https://olympics.com/en/olympic-games/london-2012/results/marathon-swimming
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/london-2012/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/london-2012/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/london-2012/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/london-2012/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/london-2012/results/swimming
Synchronized Swimming,synchronized-swimming,https://olympics.com/en/olympic-games/london-2012/results/synchronized-swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/london-2012/results/table-tennis
Taekwondo,taekwondo,https://olympics.com/en/olympic-games/london-2012/results/taekwondo
Tennis,tennis,https://olympics.com/en/olympic-games/london-2012/results/tennis
Trampoline,trampoline,https://olympics.com/en/olympic-games/london-2012/results/trampoline
Triathlon,triathlon,https://olympics.com/en/olympic-games/london-2012/results/triathlon
Volleyball,volleyball,https://olympics.com/en/olympic-games/london-2012/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/london-2012/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/london-2012/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/london-2012/results/wrestling
