Event Name,Event English Name,URL
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/st-moritz-1928/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/st-moritz-1928/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/st-moritz-1928/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/st-moritz-1928/results/ice-hockey
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/st-moritz-1928/results/nordic-combined
Skeleton,skeleton,https://olympics.com/en/olympic-games/st-moritz-1928/results/skeleton
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/st-moritz-1928/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/st-moritz-1928/results/speed-skating
